customer_id,first_name,last_name,state,city,signup_date,customer_segment
C00001,Ava,Lewis,QLD,Brisbane,2022-12-16,Regular
C00002,Olivia,Williams,NSW,Sydney,2024-09-22,Regular
C00003,Grace,Clark,NSW,Sydney,2024-07-24,Regular
C00004,Ethan,Wright,VIC,Geelong,2023-12-07,Premium
C00005,Ava,Johnson,NSW,Newcastle,2023-10-14,Regular
C00006,Noah,Nguyen,TAS,Launceston,2021-12-27,Regular
C00007,Daniel,Harris,WA,Bunbury,2022-11-24,Budget
C00008,Isla,Chen,VIC,Bendigo,2021-11-09,Premium
C00009,Emma,Jones,QLD,Sunshine Coast,2024-08-26,Regular
C00010,Benjamin,Brown,QLD,Sunshine Coast,2021-11-11,Budget
C00011,James,Johnson,VIC,Bendigo,2023-06-18,Regular
C00012,Alexander,Lewis,QLD,Brisbane,2024-10-30,Premium
C00013,Mason,Chen,NSW,Central Coast,2023-07-18,Regular
C00014,Zoe,Jones,QLD,Gold Coast,2023-03-27,Budget
C00015,Emma,Johnson,NSW,Sydney,2023-03-09,Regular
C00016,Mia,Scott,SA,Mount Gambier,2022-08-10,Premium
C00017,Jack,Lewis,SA,Mount Gambier,2022-03-20,Regular
C00018,Chloe,Thomas,VIC,Ballarat,2024-09-10,Regular
C00019,Zoe,Jones,VIC,Geelong,2024-04-09,Regular
C00020,Thomas,King,WA,Perth,2022-04-24,Budget
C00021,Ella,Martin,NSW,Central Coast,2024-10-03,Budget
C00022,Alexander,Young,ACT,Canberra,2022-01-21,Premium
C00023,Oliver,Harris,NSW,Wollongong,2022-01-15,Regular
C00024,Ella,Green,NSW,Wollongong,2024-03-22,Budget
C00025,Ava,Nguyen,NSW,Wollongong,2024-04-05,Premium
C00026,Olivia,Brown,QLD,Brisbane,2024-10-09,Regular
C00027,Ruby,Kelly,SA,Mount Gambier,2022-10-04,Regular
C00028,Zoe,Robinson,SA,Adelaide,2024-02-21,Budget
C00029,Oliver,Martin,QLD,Gold Coast,2024-01-30,Budget
C00030,Zoe,Lewis,VIC,Bendigo,2022-08-08,Budget
C00031,Grace,Nguyen,QLD,Sunshine Coast,2023-08-27,Budget
C00032,Emma,Thompson,VIC,Bendigo,2022-02-03,Regular
C00033,Emma,Clark,NSW,Newcastle,2024-09-18,Regular
C00034,Benjamin,Thompson,QLD,Gold Coast,2021-10-17,Budget
C00035,Charlotte,Robinson,NSW,Newcastle,2022-12-23,Premium
C00036,Ethan,Walker,NSW,Central Coast,2022-10-11,Budget
C00037,Thomas,Harris,NSW,Sydney,2023-10-31,Regular
C00038,Daniel,Thompson,WA,Perth,2021-12-19,Regular
C00039,Alexander,Harris,WA,Perth,2022-10-23,Regular
C00040,Benjamin,Green,NSW,Newcastle,2022-12-23,Regular
C00041,Alexander,Allen,NSW,Sydney,2021-09-12,Premium
C00042,Henry,Lee,NSW,Sydney,2022-09-28,Regular
C00043,Olivia,Thomas,NSW,Central Coast,2021-09-29,Regular
C00044,Daniel,Hall,NSW,Central Coast,2023-01-06,Regular
C00045,Charlotte,Jones,VIC,Bendigo,2022-04-14,Regular
C00046,Chloe,Lee,VIC,Melbourne,2023-03-05,Regular
C00047,Emma,Wright,VIC,Geelong,2021-09-25,Budget
C00048,Ruby,Kelly,NSW,Sydney,2022-09-25,Regular
C00049,Lucas,Kelly,NSW,Sydney,2024-11-20,Regular
C00050,Lily,Thompson,VIC,Ballarat,2022-11-17,Regular
C00051,William,Harris,NSW,Central Coast,2022-02-24,Premium
C00052,Chloe,Brown,NSW,Sydney,2021-06-20,Regular
C00053,Mason,Nguyen,NSW,Newcastle,2024-04-02,Regular
C00054,Harper,Allen,SA,Adelaide,2023-06-27,Regular
C00055,Ethan,Chen,VIC,Ballarat,2024-11-04,Budget
C00056,Ava,Martin,VIC,Ballarat,2021-12-30,Budget
C00057,William,King,NSW,Sydney,2024-07-08,Regular
C00058,Benjamin,Martin,NSW,Wollongong,2022-07-22,Premium
C00059,Thomas,Allen,VIC,Ballarat,2021-09-13,Regular
C00060,Grace,Martin,NSW,Sydney,2023-04-15,Budget
C00061,Alexander,Smith,NSW,Central Coast,2024-07-04,Budget
C00062,James,Kelly,NSW,Newcastle,2024-06-22,Regular
C00063,James,Scott,VIC,Bendigo,2022-02-17,Regular
C00064,Jack,Singh,SA,Adelaide,2023-06-03,Regular
C00065,Mason,Green,NSW,Central Coast,2024-11-23,Budget
C00066,Olivia,Taylor,NSW,Newcastle,2022-05-29,Budget
C00067,Benjamin,Lewis,QLD,Sunshine Coast,2023-09-22,Budget
C00068,Noah,Thomas,WA,Fremantle,2022-04-23,Budget
C00069,Mason,Harris,WA,Fremantle,2022-08-30,Regular
C00070,Charlotte,Thomas,VIC,Geelong,2022-08-31,Regular
C00071,Ella,Thomas,VIC,Melbourne,2022-12-24,Regular
C00072,Sophia,Taylor,QLD,Sunshine Coast,2021-07-27,Regular
C00073,Thomas,Nguyen,QLD,Sunshine Coast,2021-08-18,Regular
C00074,Ella,Brown,QLD,Sunshine Coast,2023-11-11,Premium
C00075,Thomas,Smith,VIC,Geelong,2022-11-04,Regular
C00076,Lucas,Green,VIC,Geelong,2023-06-16,Regular
C00077,William,Ryan,VIC,Ballarat,2022-02-11,Budget
C00078,William,Robinson,NSW,Central Coast,2023-03-31,Regular
C00079,Ruby,Taylor,NSW,Central Coast,2023-07-17,Premium
C00080,Olivia,Anderson,QLD,Sunshine Coast,2023-09-10,Premium
C00081,Amelia,Harris,NSW,Central Coast,2024-08-31,Premium
C00082,Ruby,Hall,VIC,Geelong,2024-04-12,Regular
C00083,Grace,King,QLD,Brisbane,2023-01-03,Premium
C00084,Charlotte,Wilson,VIC,Geelong,2023-02-26,Regular
C00085,Zoe,Williams,NSW,Newcastle,2024-01-30,Premium
C00086,Jack,Wilson,VIC,Geelong,2023-07-27,Regular
C00087,Jack,Taylor,QLD,Brisbane,2022-01-05,Budget
C00088,Alexander,White,WA,Bunbury,2024-04-26,Regular
C00089,Harper,Singh,SA,Adelaide,2023-12-22,Regular
C00090,Daniel,Scott,VIC,Ballarat,2023-11-24,Premium
C00091,Henry,Harris,VIC,Bendigo,2022-04-22,Budget
C00092,Ella,Lee,NSW,Newcastle,2022-12-20,Budget
C00093,William,White,QLD,Sunshine Coast,2023-11-18,Regular
C00094,Ava,White,NSW,Wollongong,2024-06-11,Regular
C00095,Thomas,Thompson,VIC,Geelong,2022-08-13,Regular
C00096,Thomas,Thomas,VIC,Bendigo,2021-10-06,Regular
C00097,Olivia,Nguyen,SA,Adelaide,2024-08-23,Regular
C00098,Daniel,Robinson,NSW,Central Coast,2023-10-07,Premium
C00099,Thomas,Lee,WA,Perth,2024-02-25,Regular
C00100,Isla,Harris,NSW,Wollongong,2023-09-07,Budget
C00101,Lucas,Smith,SA,Adelaide,2023-08-16,Premium
C00102,Oliver,Jones,NSW,Central Coast,2022-03-05,Budget
C00103,Amelia,Young,NSW,Wollongong,2022-08-08,Regular
C00104,Emma,Lee,WA,Fremantle,2023-10-12,Regular
C00105,Emma,Young,NSW,Sydney,2023-05-18,Regular
C00106,Charlotte,Allen,TAS,Hobart,2021-08-03,Budget
C00107,Lucas,Brown,NSW,Newcastle,2022-10-02,Regular
C00108,Zoe,Nguyen,VIC,Geelong,2024-01-09,Premium
C00109,Noah,Kelly,NSW,Sydney,2022-05-02,Budget
C00110,Mia,Thomas,NSW,Wollongong,2024-08-23,Premium
C00111,Isla,Chen,SA,Adelaide,2021-11-03,Premium
C00112,Ethan,Kelly,NSW,Wollongong,2024-10-12,Budget
C00113,James,Williams,WA,Fremantle,2024-05-27,Regular
C00114,Isla,Lee,VIC,Ballarat,2021-06-26,Budget
C00115,Thomas,Taylor,NSW,Wollongong,2023-12-29,Budget
C00116,Alexander,Young,QLD,Sunshine Coast,2024-11-13,Budget
C00117,Benjamin,White,VIC,Bendigo,2024-09-26,Regular
C00118,Jack,Young,WA,Perth,2022-12-24,Budget
C00119,Benjamin,Thompson,VIC,Bendigo,2023-04-20,Regular
C00120,Amelia,Martin,NSW,Newcastle,2023-05-28,Budget
C00121,Charlotte,Williams,SA,Mount Gambier,2024-07-13,Regular
C00122,Jack,Clark,NSW,Central Coast,2024-02-26,Premium
C00123,Emma,Anderson,VIC,Bendigo,2023-12-05,Budget
C00124,James,Lee,NSW,Newcastle,2023-02-18,Premium
C00125,Alexander,Thompson,VIC,Ballarat,2023-10-20,Budget
C00126,Jack,Brown,VIC,Bendigo,2022-12-07,Regular
C00127,Zoe,Clark,QLD,Sunshine Coast,2022-01-31,Budget
C00128,Chloe,Young,NSW,Newcastle,2024-02-17,Regular
C00129,William,White,VIC,Ballarat,2021-12-23,Budget
C00130,Ava,Martin,VIC,Ballarat,2021-06-29,Budget
C00131,Ava,Chen,NSW,Sydney,2024-07-08,Regular
C00132,Chloe,Anderson,WA,Fremantle,2021-12-28,Budget
C00133,Liam,Martin,VIC,Bendigo,2023-04-29,Regular
C00134,Mia,Lee,SA,Mount Gambier,2022-01-20,Budget
C00135,Chloe,Anderson,NSW,Sydney,2022-04-07,Regular
C00136,Thomas,King,NSW,Newcastle,2022-01-29,Premium
C00137,Mason,Harris,QLD,Gold Coast,2024-05-06,Regular
C00138,Liam,King,NSW,Central Coast,2023-02-16,Premium
C00139,Sophia,Singh,TAS,Hobart,2022-07-31,Premium
C00140,Oliver,Smith,NSW,Newcastle,2022-05-22,Premium
C00141,William,Clark,VIC,Bendigo,2023-01-18,Regular
C00142,Mason,Martin,NSW,Central Coast,2021-10-24,Premium
C00143,Mason,Johnson,WA,Bunbury,2024-09-20,Premium
C00144,Isla,Wilson,VIC,Geelong,2022-04-02,Budget
C00145,Isla,Kelly,NSW,Newcastle,2023-02-20,Premium
C00146,William,Clark,SA,Mount Gambier,2022-02-10,Regular
C00147,Harper,Williams,VIC,Ballarat,2024-03-21,Premium
C00148,Olivia,Williams,QLD,Townsville,2023-03-23,Premium
C00149,Zoe,Young,NSW,Sydney,2022-12-04,Premium
C00150,Chloe,Walker,NSW,Central Coast,2022-12-22,Regular
C00151,Thomas,Thompson,QLD,Townsville,2021-12-04,Regular
C00152,Lily,Lee,VIC,Melbourne,2022-04-26,Regular
C00153,Emma,Thompson,NSW,Central Coast,2024-07-01,Regular
C00154,Isla,Smith,NSW,Sydney,2023-09-06,Budget
C00155,Ella,Nguyen,QLD,Townsville,2023-09-25,Regular
C00156,Charlotte,Martin,QLD,Townsville,2023-11-23,Budget
C00157,Henry,Brown,VIC,Ballarat,2023-11-15,Budget
C00158,Olivia,Robinson,NSW,Newcastle,2022-04-21,Regular
C00159,Noah,Chen,VIC,Geelong,2022-01-19,Regular
C00160,Sophia,Walker,WA,Fremantle,2023-01-19,Premium
C00161,Ava,Thomas,WA,Fremantle,2022-10-13,Regular
C00162,Ethan,Wright,NSW,Newcastle,2021-10-21,Regular
C00163,William,Allen,VIC,Ballarat,2021-06-06,Regular
C00164,Henry,Nguyen,QLD,Townsville,2022-04-01,Regular
C00165,Benjamin,Johnson,VIC,Bendigo,2023-12-20,Budget
C00166,Benjamin,Young,ACT,Canberra,2024-08-15,Regular
C00167,Ethan,Thomas,VIC,Ballarat,2024-01-25,Budget
C00168,Ava,Ryan,VIC,Geelong,2024-03-11,Budget
C00169,Harper,Brown,TAS,Launceston,2021-12-23,Budget
C00170,Thomas,Wright,VIC,Bendigo,2021-07-02,Budget
C00171,Sophia,Thompson,QLD,Gold Coast,2021-11-01,Regular
C00172,Benjamin,Singh,QLD,Townsville,2021-11-12,Budget
C00173,Ruby,Young,WA,Fremantle,2023-03-11,Premium
C00174,Grace,Singh,VIC,Melbourne,2024-11-16,Regular
C00175,Noah,Young,SA,Adelaide,2021-12-03,Regular
C00176,William,Scott,QLD,Brisbane,2023-11-26,Regular
C00177,James,Walker,NSW,Wollongong,2021-09-23,Regular
C00178,Oliver,Taylor,NSW,Central Coast,2024-08-03,Premium
